         63773119 function calls (62897781 primitive calls) in 80.512 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   211037    0.339    0.000    0.339    0.000 {built-in method numpy.asarray}
   104702    0.328    0.000   24.214    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\language.py:5(__init__)
   211036    0.326    0.000    0.326    0.000 {built-in method numpy.empty}
   421951    0.311    0.000    0.459    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\inference.py:328(is_hashable)
   421948    0.293    0.000    0.362    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:7072(ensure_index)
   210971    0.284    0.000    3.316    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\_config\config.py:260(__call__)
211071/211070    0.279    0.000    0.880    0.000 {built-in method builtins.all}
   211024    0.262    0.000    1.833    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\construction.py:396(extract_array)
   210971    0.251    0.000    0.251    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\flags.py:85(allows_duplicate_labels)
  1055665    0.251    0.000    0.251    0.000 {built-in method builtins.getattr}
   210971    0.249    0.000    1.190    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:223(set_axis)
   210974    0.246    0.000    0.274    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\construction.py:458(ensure_wrapped_if_datetimelike)
   210974    0.239    0.000    0.239    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\flags.py:49(__init__)
   211023    0.222    0.000    0.273    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\construction.py:683(_sanitize_str_dtypes)
   211019    0.200    0.000    0.580    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\common.py:571(require_length_match)
   210976    0.190    0.000    0.417    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:7167(maybe_extract_name)
   210971    0.189    0.000    0.564    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\_config\config.py:649(_warn_if_deprecated)
       42    0.186    0.004    0.684    0.016 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\adam.py:300(_single_tensor_adam)
   211023    0.181    0.000    0.226    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\construction.py:703(_maybe_repeat)
   210975    0.175    0.000    0.175    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\_config\__init__.py:33(using_copy_on_write)
   102079    0.174    0.000    0.213    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\language.py:85(add_phoneme)
   211019    0.164    0.000    0.221    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\common.py:1322(is_1d_only_ea_dtype)
   210971    0.162    0.000    0.162    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:1847(__init__)
   210971    0.155    0.000    0.311    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\_config\config.py:637(_translate_key)
   210971    0.152    0.000    0.152    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\_config\config.py:578(_select_options)
   210975    0.151    0.000    0.151    0.000 {method 'split' of 'str' objects}
   421953    0.147    0.000    0.147    0.000 {built-in method builtins.hash}
    14055    0.143    0.000    0.143    0.000 {built-in method torch.relu}
        1    0.142    0.142    2.419    2.419 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\main.py:139(post_training)
   422000    0.139    0.000    0.139    0.000 {pandas._libs.lib.is_list_like}
     1008    0.126    0.000    0.126    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
33869/2811    0.120    0.000    5.083    0.002 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\module.py:1494(_call_impl)
   210970    0.118    0.000    0.118    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:1944(_block)
   421942    0.115    0.000    0.115    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\generic.py:359(flags)
     5404    0.115    0.000    0.152    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\language.py:89(get_vector)
   210971    0.115    0.000    0.115    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\generic.py:338(attrs)
   210970    0.107    0.000    0.107    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\indexes\range.py:395(__iter__)
     1008    0.102    0.000    0.102    0.000 {method 'add' of 'torch._C._TensorBase' objects}
     2811    0.100    0.000    4.994    0.002 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\container.py:215(forward)
   422588    0.094    0.000    0.094    0.000 {built-in method builtins.issubclass}
    16866    0.088    0.000    4.501    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\linear.py:113(forward)
   211024    0.071    0.000    0.071    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\numpy\core\multiarray.py:1079(copyto)
   210971    0.071    0.000    0.071    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\flags.py:53(allows_duplicate_labels)
